URL,Title,"Content Type",Category,Topic,Status,"Created At","Updated At","Organic Clicks 3M","Organic Clicks 12M",Impressions,"Avg Position",Backlinks,Action,"Redirect URL",Priority,Note
/blog/huong-dan-unity-2023-tinh-nang-moi,"Hướng dẫn Unity 2023 - Những tính năng mới đáng chú ý",blog,"Unity Development","Game Engine",active,"2025-09-05 11:27:18","2025-10-05 16:59:08",,,,,,,,,
/blog/csharp-co-ban-cho-game-developer,"C# Cơ bản cho Game Developer - Từ Hello World đến MonoBehaviour",blog,General,"Game Development",active,"2025-09-05 11:27:18","2025-10-05 05:44:13",,,,,,,,,
/blog/toi-uu-hoa-performance-game-mobile-unity,"Tối ưu hóa Performance Game Mobile với Unity",blog,"Unity Development","Game Engine",active,"2025-09-05 11:27:18","2025-10-05 17:04:40",,,,,,,,,
/blog/game-design-101-nguyen-tac-thiet-ke-game,"Game Design 101: Nguyên tắc thiết kế game hiệu quả",blog,"Game Design","Game Design",active,"2025-09-05 11:27:18","2025-10-05 17:07:54",,,,,,,,,
/blog/csgo-danh-gia-chi-tiet-game-fps-huyen-thoai-2024,"CS:GO - Đánh giá chi tiết game FPS huyền thoại vẫn hot nhất 2024",blog,"AI Game Dev","Game Development",active,"2025-09-05 14:03:49","2025-10-05 19:13:34",,,,,,,,,
/blog/pubg-game-sinh-ton-battle-royale-gay-nghien-nhat,"PUBG - Game sinh tồn Battle Royale gây nghiện nhất thế giới",blog,General,"Game Development",active,"2025-09-05 14:07:37","2025-10-05 20:11:27",,,,,,,,,
/blog/top-10-game-pc-cu-nhung-van-cuc-hay-2024,"League of Legends - Game MOBA số 1 thế giới năm 2024",blog,General,"Game Development",active,"2025-09-05 14:09:12","2025-10-05 20:22:59",,,,,,,,,
/blog/grand-chase-m-game-nhap-vai-hanh-dong-anime-3d-sieu-hot,"FIFA Online 4 - Game bóng đá ảo số 1 Việt Nam 2024",blog,"3D Game","Game Development",active,"2025-09-05 14:11:54","2025-10-07 04:40:16",,,,,,,,,
/blog/top-15-game-mien-phi-hay-nhat-tren-steam-2024,"Top 15 Game Miễn Phí Hay Nhất Trên Steam 2024",blog,General,"Game Development",active,"2025-09-05 14:14:49","2025-10-05 18:49:03",,,,,,,,,
/blog/5kitu-game-ghep-chu-tieng-viet-gay-nghien,"5Kitu - Game ghép chữ tiếng Việt gây nghiện",blog,General,"Game Development",active,"2025-09-05 20:22:54","2025-10-05 21:06:49",,,,,,,,,
/blog/borderlands-2-game-ban-sung-rpg-hap-dan,"Borderlands 2 - Game bắn súng RPG hấp dẫn",blog,General,"Game Development",active,"2025-09-05 20:23:07","2025-10-05 21:13:58",,,,,,,,,
/blog/boss-boxing-game-dam-boc-mobile-song-dong,"Boss Boxing - Game đấm bốc mobile sống động",blog,"Mobile Game","Game Development",active,"2025-09-05 20:23:16","2025-10-05 21:19:56",,,,,,,,,
/blog/overwatch-cap-nhat-ban-do-eichenwald-moi,"Overwatch - Cập nhật bản đồ Eichenwald mới",blog,General,"Game Development",active,"2025-09-05 20:23:18","2025-10-05 21:39:17",,,,,,,,,
/blog/bo-suu-tap-chuot-gaming-chat-luong-cao,"Bộ sưu tập chuột gaming chất lượng cao",blog,General,"Game Development",active,"2025-09-05 20:23:22","2025-10-05 22:51:46",,,,,,,,,
/blog/cs-go-danh-gia-chi-tiet-game-fps-huyen-thoai,"CS:GO - Đánh giá chi tiết game FPS huyền thoại",blog,"AI Game Dev","Game Development",active,"2025-09-05 20:23:25","2025-10-05 22:44:32",,,,,,,,,
/blog/captain-heroes-game-sieu-anh-hung-mobile,"Captain Heroes - Game siêu anh hùng mobile",blog,"Mobile Game","Game Development",active,"2025-09-05 20:23:29","2025-10-06 04:39:44",,,,,,,,,
/blog/cartel-kings-game-chien-thuat-b-ng-dang,"Cartel Kings - Game chiến thuật băng đảng",blog,General,"Game Development",active,"2025-09-05 20:23:30","2025-10-06 04:47:06",,,,,,,,,
/blog/deadwalk-the-last-war-game-zombie-sinh-ton,"Deadwalk: The Last War - Game zombie sinh tồn",blog,General,"Game Development",active,"2025-09-05 20:23:32","2025-10-06 14:53:41",,,,,,,,,
/blog/10-tua-game-pc-cu-hay-tuyet-ma-ban-khong-nen-bo-qua,"10 tựa game PC cũ ""hay tuyệt"" mà bạn không nên bỏ qua",blog,General,"Game Development",active,"2025-09-05 20:27:48","2025-10-06 14:56:33",,,,,,,,,
/blog/dirty-bomb-game-fps-mien-phi-hay-nhat-tu-splash-damage,"Dirty Bomb - Game FPS miễn phí hay nhất từ Splash Damage",blog,General,"Game Development",active,"2025-09-05 21:29:33","2025-10-06 14:59:02",,,,,,,,,
/blog/dirty-bomb-danh-gia-chi-tiet-game-fps-mien-phi,"Dirty Bomb - Đánh giá chi tiết game FPS miễn phí",blog,General,"Game Development",active,"2025-09-05 21:29:37","2025-10-06 15:01:54",,,,,,,,,
/blog/resident-evil-7-ac-mong-kinh-hoang-tro-lai,"Resident Evil 7 - Ác mộng kinh hoàng trở lại",blog,"AI Game Dev","Game Development",active,"2025-09-05 21:29:38","2025-10-06 15:06:14",,,,,,,,,
/blog/pubg-ly-do-thu-hut-hang-trieu-nguoi-choi-tren-toan-the-gioi,"PUBG - Lý do thu hút hàng triệu người chơi trên toàn thế giới",blog,General,"Game Development",active,"2025-09-05 21:29:38","2025-10-05 03:11:28",,,,,,,,,
/blog/bayonetta-vanquish-ban-cap-nhat-moi-cho-pc,"Bayonetta & Vanquish - Bản cập nhật mới cho PC",blog,General,"Game Development",active,"2025-09-05 21:29:41","2025-10-05 03:03:27",,,,,,,,,
/blog/call-of-duty-wwii-su-tro-lai-cua-thoi-ky-the-chien-2,"Call of Duty WWII - Sự trở lại của thời kỳ Thế chiến 2",blog,"AI Game Dev","Game Development",active,"2025-09-05 21:29:45","2025-10-05 02:49:54",,,,,,,,,
/blog/dota-2-valve-yeu-cau-so-dien-thoai-cho-ranked-match,"Dota 2 - Valve yêu cầu số điện thoại cho Ranked Match",blog,"AI Game Dev","Game Development",active,"2025-09-05 21:29:49","2025-10-05 02:31:37",,,,,,,,,
/blog/top-5-game-dau-nao-nhung-cuc-hay-phan-1,"Top 5 game ""đau não"" nhưng cực hay (Phần 1)",blog,General,"Game Development",active,"2025-09-05 21:30:01","2025-10-05 02:21:24",,,,,,,,,
/blog/top-5-game-dau-nao-nhung-cuc-hay-phan-2,"Top 5 game ""đau não"" nhưng cực hay (Phần 2)",blog,General,"Game Development",active,"2025-09-05 21:30:07","2025-10-05 02:10:44",,,,,,,,,
/blog/grand-chase-m-game-nhap-vai-hanh-dong-mobile-tuyet-voi,"Grand Chase M - Game nhập vai hành động mobile tuyệt vời",blog,"Mobile Game","Game Development",active,"2025-09-05 21:30:09","2025-10-04 23:47:37",,,,,,,,,
/blog/grand-sphere-game-mobile-rpg-voi-do-hoa-tuyet-dep,"Grand Sphere - Game mobile RPG với đồ họa tuyệt đẹp",blog,"Mobile Game","Game Development",active,"2025-09-05 21:30:12","2025-10-04 23:44:01",,,,,,,,,
/blog/hit-game-mobile-hanh-dong-cuc-hap-dan,"HIT - Game mobile hành động cực hấp dẫn",blog,"Mobile Game","Game Development",active,"2025-09-05 21:30:15","2025-10-04 21:28:18",,,,,,,,,
/blog/hidden-heroes-game-chien-thuat-an-danh-hay-ho,"Hidden Heroes - Game chiến thuật ẩn danh hay ho",blog,General,"Game Development",active,"2025-09-05 21:30:17","2025-10-04 21:13:10",,,,,,,,,
/blog/hungry-shark-evolution-cuoc-phieu-luu-cua-ca-map-doi,"Hungry Shark Evolution - Cuộc phiêu lưu của cá mập đói",blog,General,"Game Development",active,"2025-09-05 21:30:23","2025-10-04 21:04:40",,,,,,,,,
/blog/hunter-apocalypse-s-n-lung-zombie-trong-tan-the,"Hunter Apocalypse - Săn lùng zombie trong tận thế",blog,General,"Game Development",active,"2025-09-05 21:30:24","2025-10-04 21:00:41",,,,,,,,,
